STRAIGHT_DEM,STRAIGHT_GOP,STRAIGHT_ALL,SPLIT_BIDEN,SPLIT_TRUMP,SPLIT_ALL,TOTAL_BIDEN,TOTAL_TRUMP,TOTAL_ALL,GOP_Straight,DEM_Straight,GOP_Split,DEM_Split,prop_split,trump,biden
549,342,910,460,209,704,1009,551,1614,0.375824176,0.603296703,0.296875,0.653409091,0.436183395,0.341387856,0.625154895
616,117,756,150,34,175,766,151,931,0.154761905,0.814814815,0.194285714,0.857142857,0.187969925,0.162191192,0.822771214
710,117,853,188,64,247,898,181,1100,0.137162954,0.832356389,0.259109312,0.761133603,0.224545455,0.164545455,0.816363636
574,334,935,360,168,541,934,502,1476,0.357219251,0.613903743,0.310536044,0.665434381,0.366531165,0.340108401,0.632791328
417,51,480,98,13,112,515,64,592,0.10625,0.86875,0.116071429,0.875,0.189189189,0.108108108,0.869932432
580,265,878,312,160,477,892,425,1355,0.301822323,0.660592255,0.335429769,0.65408805,0.35202952,0.313653137,0.658302583
481,565,1059,515,335,878,996,900,1937,0.533522191,0.454202077,0.381548975,0.586560364,0.453278265,0.464636035,0.514197212
398,514,923,368,319,721,766,833,1644,0.55687974,0.4312026,0.442441054,0.510402219,0.438564477,0.506690998,0.46593674
255,41,303,42,14,56,297,55,359,0.135313531,0.841584158,0.25,0.75,0.155988858,0.153203343,0.82729805
381,467,862,406,289,703,787,756,1565,0.541763341,0.44199536,0.411095306,0.577524893,0.449201278,0.483067093,0.502875399
503,58,569,118,8,133,621,66,702,0.101933216,0.88400703,0.060150376,0.887218045,0.189458689,0.094017094,0.884615385
448,89,549,342,65,413,790,154,962,0.162112933,0.816029144,0.157384988,0.828087167,0.429313929,0.16008316,0.821205821
494,213,716,317,158,498,811,371,1214,0.297486034,0.689944134,0.317269076,0.636546185,0.410214168,0.305601318,0.668039539
360,150,517,308,118,437,668,268,954,0.290135397,0.696324952,0.270022883,0.704805492,0.458071279,0.280922432,0.700209644
620,249,887,400,157,566,1020,406,1453,0.280721533,0.698985344,0.277385159,0.706713781,0.389538885,0.279421886,0.701995871
556,176,749,251,79,356,807,255,1105,0.234979973,0.742323097,0.221910112,0.70505618,0.322171946,0.230769231,0.730316742
512,199,718,544,132,701,1056,331,1419,0.277158774,0.713091922,0.188302425,0.776034237,0.494009866,0.233262861,0.744186047
650,244,933,406,175,588,1056,419,1521,0.261521972,0.696677385,0.297619048,0.69047619,0.386587771,0.27547666,0.694280079
419,161,591,310,94,425,729,255,1016,0.272419628,0.708967851,0.221176471,0.729411765,0.418307087,0.250984252,0.717519685
328,66,400,289,65,359,617,131,759,0.165,0.82,0.181058496,0.805013928,0.472990777,0.17259552,0.812911726
690,301,1007,378,151,545,1068,452,1552,0.298907646,0.685203575,0.27706422,0.693577982,0.351159794,0.291237113,0.68814433
445,376,830,484,238,747,929,614,1577,0.453012048,0.536144578,0.318607764,0.647925033,0.473684211,0.389346861,0.589093215
335,167,511,177,82,263,512,249,774,0.326810176,0.655577299,0.311787072,0.673003802,0.339793282,0.321705426,0.661498708
658,405,1079,616,300,940,1274,705,2019,0.375347544,0.609823911,0.319148936,0.655319149,0.465577018,0.349182764,0.631005448
844,281,1149,713,174,905,1557,455,2054,0.244560487,0.734551784,0.192265193,0.787845304,0.4406037,0.221518987,0.758033106
300,55,365,284,33,332,584,88,697,0.150684932,0.821917808,0.09939759,0.855421687,0.476327116,0.12625538,0.837876614
696,113,817,520,96,636,1216,209,1453,0.138310894,0.851897185,0.150943396,0.817610063,0.437715072,0.14384033,0.836889195
588,499,1110,487,290,791,1075,789,1901,0.44954955,0.52972973,0.366624526,0.615676359,0.416096791,0.415044713,0.565491846
562,320,895,494,181,701,1056,501,1596,0.357541899,0.627932961,0.258202568,0.704707561,0.439223058,0.313909774,0.661654135
452,329,790,449,200,677,901,529,1467,0.416455696,0.572151899,0.295420975,0.663220089,0.461486026,0.360599864,0.614178596
444,416,869,412,202,647,856,618,1516,0.478711162,0.510932106,0.312210201,0.636785162,0.426781003,0.407651715,0.564643799
541,484,1037,412,265,703,953,749,1740,0.466730955,0.521697203,0.376955903,0.586059744,0.404022989,0.43045977,0.547701149
640,382,1035,374,205,596,1014,587,1631,0.369082126,0.618357488,0.343959732,0.627516779,0.365419988,0.359901901,0.621704476
493,297,803,482,212,701,975,509,1504,0.369863014,0.613947696,0.302425107,0.687589158,0.466090426,0.338430851,0.648271277
511,132,657,366,81,460,877,213,1117,0.200913242,0.777777778,0.176086957,0.795652174,0.411817368,0.190689346,0.785138765
678,141,841,478,93,593,1156,234,1434,0.167657551,0.806183115,0.15682968,0.806070826,0.413528591,0.163179916,0.806136681
765,125,908,693,69,803,1458,194,1711,0.137665198,0.842511013,0.085927771,0.863013699,0.469316189,0.113383986,0.852133255
628,244,894,218,113,325,846,357,1219,0.272930649,0.70246085,0.347692308,0.670769231,0.266611977,0.292863002,0.694011485
320,42,368,223,15,241,543,57,609,0.114130435,0.869565217,0.062240664,0.925311203,0.395730706,0.093596059,0.891625616
